run_id,queried_at,symbol,company_name,kpi_code,kpi_name,value,display_value,judgement,formula,source,detail,status
3,2026-06-25T21:11:22,2330.TW,Taiwan Semiconductor Manufacturing Company Limited,01,機構持股比例,43.61,43.61%,中等機構持股,機構持股股數 / 總股本 * 100,Yahoo Finance/yfinance; Fintel 可對照,"Shares Outstanding=25,932,370,067; yfinance heldPercentInstitutions=43.61%",OK
3,2026-06-25T21:11:22,2330.TW,Taiwan Semiconductor Manufacturing Company Limited,02,MRQ 機構持股變化,,N/A,資料不足,(本季機構持股 - 上季機構持股) / 上季機構持股 * 100,Fintel Institutional Ownership,Fintel change shares=N/A; Fintel 自動抓取失敗 HTTP 403,需 Fintel 資料
3,2026-06-25T21:11:22,2330.TW,Taiwan Semiconductor Manufacturing Company Limited,03,Owners 家數變化,,N/A,資料不足,(本季 Owners 家數 - 上季 Owners 家數) / 上季 Owners 家數 * 100,Fintel Owners,Owners=714; Fintel 自動抓取失敗 HTTP 403,需 Fintel 資料
3,2026-06-25T21:11:22,2330.TW,Taiwan Semiconductor Manufacturing Company Limited,12,機構佔流通股比例,47.845787697333094,47.85%,大型股：中影響,總股本 * 機構持股比例 / Float * 100,Yahoo Finance/yfinance,"機構持股估算=11,309,106,586; Float=23,636,577,284",OK
3,2026-06-25T21:11:22,2330.TW,Taiwan Semiconductor Manufacturing Company Limited,13,成交量活躍度,0.1369996452626977,0.14%,大型股：低活躍,10 日平均成交量 / 總股本 * 100,Yahoo Finance/yfinance,"10日均量=35,527,255; Float版=0.15%",OK
3,2026-06-25T21:11:22,2330.TW,Taiwan Semiconductor Manufacturing Company Limited,14,成交量增長率,1.5948681276506462,1.59%,大型股：低增長,(10 日均量 - 3 個月均量) / 3 個月均量 * 100,Yahoo Finance/yfinance,"10日均量=35,527,255; 3個月均量=34,969,537",OK
3,2026-06-25T21:11:22,2330.TW,Taiwan Semiconductor Manufacturing Company Limited,15,Insider Ownership,0.022000000000000002,0.022%,偏低,內部人持股比例 * 100,Yahoo Finance/yfinance,yfinance heldPercentInsiders=0.022%,OK
36,2026-06-29T21:33:00,AAOI,"Applied Optoelectronics, Inc.",01,Institutional Ownership,68.42,68.42%,中等機構持股,Institutional shares / shares outstanding * 100,Yahoo Finance/yfinance; Fintel,"Shares Outstanding=80,242,767; yfinance heldPercentInstitutions=68.42%",OK
36,2026-06-29T21:33:00,AAOI,"Applied Optoelectronics, Inc.",02,MRQ Institutional Shares Change,9.44,9.44%,中增長/穩定增加,(current institutional shares - prior institutional shares) / prior institutional shares * 100,Fintel,"Fintel change shares=4,910,000; Fintel 自動抓取成功 (chrome120, session warmup)",OK
36,2026-06-29T21:33:00,AAOI,"Applied Optoelectronics, Inc.",03,Owners Count Change,55.87,55.87%,強增長/高度關注,(current owners - prior owners) / prior owners * 100,Fintel,"Owners=385; Fintel 自動抓取成功 (chrome120, session warmup)",OK
